Category: All categories

Month,Mathematica: (Worldwide),SageMath: (Worldwide),Google Colab: (Worldwide),iPython: (Worldwide),Jupyter: (Worldwide)
2004-01,85,0,0,0,0
2004-02,96,0,0,0,0
2004-03,80,0,0,2,0
2004-04,79,0,0,1,0
2004-05,100,0,0,1,0
2004-06,74,0,0,1,0
2004-07,64,0,0,1,0
2004-08,57,0,0,1,0
2004-09,82,0,0,1,0
2004-10,82,0,0,1,0
2004-11,80,0,0,1,0
2004-12,87,0,0,2,0
2005-01,75,0,0,2,0
2005-02,80,0,0,1,0
2005-03,75,0,0,3,0
2005-04,70,0,0,1,0
2005-05,78,0,0,2,0
2005-06,73,0,0,1,0
2005-07,55,0,0,1,0
2005-08,51,0,0,1,0
2005-09,60,0,<1,<1,0
2005-10,71,0,0,1,0
2005-11,77,0,0,1,0
2005-12,55,0,0,1,0
2006-01,54,0,0,1,0
2006-02,62,0,0,2,<1
2006-03,59,0,0,1,0
2006-04,55,0,0,1,0
2006-05,46,0,<1,1,0
2006-06,47,0,0,4,0
2006-07,38,0,0,2,0
2006-08,42,0,0,1,0
2006-09,51,0,0,1,0
2006-10,57,0,0,1,0
2006-11,58,0,0,1,0
2006-12,51,0,0,2,0
2007-01,47,0,0,2,0
2007-02,50,0,0,1,0
2007-03,47,0,<1,2,0
2007-04,49,0,0,2,0
2007-05,56,0,0,1,0
2007-06,47,0,0,1,0
2007-07,41,0,0,2,<1
2007-08,35,<1,0,2,0
2007-09,45,0,0,2,0
2007-10,51,0,0,2,0
2007-11,47,0,0,2,0
2007-12,35,<1,0,2,0
2008-01,42,<1,0,2,0
2008-02,46,1,0,2,0
2008-03,44,<1,0,1,0
2008-04,41,<1,0,2,<1
2008-05,40,<1,0,2,0
2008-06,36,<1,0,3,<1
2008-07,29,<1,0,1,0
2008-08,28,0,0,2,<1
2008-09,41,<1,0,2,<1
2008-10,41,<1,0,2,0
2008-11,47,<1,0,2,0
2008-12,38,<1,0,3,0
2009-01,38,1,0,1,0
2009-02,47,<1,0,1,0
2009-03,48,<1,0,2,0
2009-04,44,<1,0,2,0
2009-05,49,1,0,3,0
2009-06,42,<1,0,2,<1
2009-07,32,1,0,2,<1
2009-08,29,<1,0,2,0
2009-09,43,1,0,2,0
2009-10,50,<1,0,1,<1
2009-11,47,<1,0,2,0
2009-12,36,1,0,2,0
2010-01,37,1,<1,1,<1
2010-02,38,1,0,2,0
2010-03,40,1,0,1,0
2010-04,44,<1,0,2,0
2010-05,39,1,0,2,0
2010-06,36,<1,0,1,0
2010-07,25,<1,0,2,0
2010-08,26,<1,0,2,0
2010-09,39,<1,0,2,0
2010-10,45,1,<1,2,0
2010-11,47,<1,0,2,0
2010-12,39,<1,0,2,0
2011-01,34,<1,0,1,<1
2011-02,41,1,0,2,0
2011-03,39,<1,0,2,0
2011-04,42,<1,0,1,<1
2011-05,40,<1,0,2,<1
2011-06,34,<1,<1,1,0
2011-07,27,<1,<1,2,0
2011-08,30,<1,0,3,<1
2011-09,39,<1,0,2,0
2011-10,43,<1,0,2,0
2011-11,42,<1,0,2,0
2011-12,33,<1,0,1,0
2012-01,33,<1,0,2,<1
2012-02,40,<1,<1,3,<1
2012-03,38,1,0,2,0
2012-04,35,1,0,2,0
2012-05,33,<1,0,2,0
2012-06,28,<1,<1,3,<1
2012-07,24,<1,0,3,<1
2012-08,24,<1,0,3,0
2012-09,36,<1,0,3,<1
2012-10,40,<1,0,3,<1
2012-11,38,<1,0,3,<1
2012-12,30,<1,<1,4,<1
2013-01,32,<1,0,3,0
2013-02,34,1,<1,4,0
2013-03,31,1,0,4,<1
2013-04,36,<1,0,5,0
2013-05,30,1,<1,4,<1
2013-06,27,<1,0,4,0
2013-07,25,<1,<1,5,<1
2013-08,23,<1,<1,5,<1
2013-09,32,1,<1,5,<1
2013-10,39,<1,<1,6,<1
2013-11,36,1,0,5,0
2013-12,29,1,<1,5,0
2014-01,28,<1,<1,5,<1
2014-02,33,<1,<1,7,<1
2014-03,32,<1,<1,6,0
2014-04,33,<1,<1,8,<1
2014-05,30,1,0,7,<1
2014-06,25,<1,0,6,0
2014-07,23,1,0,6,0
2014-08,22,<1,<1,7,<1
2014-09,32,<1,<1,7,<1
2014-10,34,1,<1,8,<1
2014-11,31,1,<1,8,<1
2014-12,26,1,<1,7,<1
2015-01,26,1,<1,7,<1
2015-02,31,1,0,9,<1
2015-03,30,1,<1,9,<1
2015-04,32,1,<1,9,1
2015-05,27,1,<1,9,1
2015-06,24,1,<1,9,1
2015-07,21,1,0,9,1
2015-08,19,1,<1,8,1
2015-09,30,1,0,8,2
2015-10,31,1,<1,9,4
2015-11,30,1,<1,8,3
2015-12,24,1,<1,7,4
2016-01,23,1,<1,7,4
2016-02,29,1,<1,9,5
2016-03,28,1,<1,9,6
2016-04,29,1,<1,8,7
2016-05,24,1,0,8,7
2016-06,21,1,0,7,7
2016-07,18,1,0,8,7
2016-08,20,1,0,6,7
2016-09,26,1,0,8,9
2016-10,27,1,<1,7,10
2016-11,28,1,<1,7,10
2016-12,21,1,<1,6,10
2017-01,21,1,<1,7,13
2017-02,26,1,<1,8,14
2017-03,27,1,<1,7,17
2017-04,25,1,<1,8,17
2017-05,23,1,<1,6,15
2017-06,18,1,<1,7,17
2017-07,16,<1,<1,6,17
2017-08,16,1,<1,7,18
2017-09,22,1,<1,7,22
2017-10,24,1,<1,6,24
2017-11,26,1,<1,7,26
2017-12,18,1,<1,5,21
2018-01,18,1,<1,6,24
2018-02,23,1,<1,6,28
2018-03,20,1,1,6,28
2018-04,21,1,1,5,30
2018-05,19,1,1,5,29
2018-06,16,<1,1,5,26
2018-07,14,1,1,5,27
2018-08,14,1,1,5,29
2018-09,19,1,1,5,31
2018-10,21,1,2,5,36
2018-11,19,1,3,5,34
2018-12,15,1,2,4,28
2019-01,15,1,2,4,32
2019-02,19,1,3,4,35
2019-03,20,1,3,5,37
2019-04,17,1,4,4,36
2019-05,15,1,4,4,37
2019-06,15,1,4,4,36
2019-07,14,1,6,4,40
2019-08,13,1,6,3,37
2019-09,17,1,7,4,44
2019-10,18,1,8,4,43
2019-11,18,1,9,3,42
2019-12,12,1,7,3,34
2020-01,13,1,8,3,42
2020-02,16,1,11,3,44
2020-03,16,1,11,3,41
2020-04,18,1,13,3,47
2020-05,17,1,13,3,44
2020-06,15,1,12,3,43
2020-07,14,1,14,3,43
2020-08,11,1,14,3,41
2020-09,15,1,15,3,43
2020-10,14,1,12,2,36
2020-11,13,1,11,2,33
2020-12,11,1,11,2,29
2021-01,11,1,11,2,32
2021-02,12,<1,12,2,34
2021-03,12,1,13,2,36
2021-04,11,<1,14,2,35
2021-05,12,1,15,2,34
